DATE,IRSTFR01USQ156N
2014-01-01,0.08
2014-04-01,0.1
2014-07-01,0.09
2014-10-01,0.12
2015-01-01,0.11
2015-04-01,0.13
2015-07-01,0.14
2015-10-01,0.24
2016-01-01,0.36
2016-04-01,0.38
2016-07-01,0.4
2016-10-01,0.54
2017-01-01,0.79
2017-04-01,1.04
2017-07-01,1.15
2017-10-01,1.3
2018-01-01,1.51
2018-04-01,1.82
2018-07-01,1.95
2018-10-01,2.27
2019-01-01,2.41
2019-04-01,2.38
2019-07-01,2.04
2019-10-01,1.55
2020-01-01,0.65
2020-04-01,0.08
2020-07-01,0.09
2020-10-01,0.09
2021-01-01,0.07
2021-04-01,0.08
2021-07-01,0.08
2021-10-01,0.08
2022-01-01,0.2
2022-04-01,1.21
2022-07-01,2.56
2022-10-01,4.1
2023-01-01,4.65
2023-04-01,5.08
2023-07-01,5.33
